total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
40,1.000000000000000,1,1,2,14,-.3556803057792190E-01,1,1496,2.818615725953034,1,1552,0.3430458,8.604095
41,1.000000000000000,1,1,2,15,-.1497096991125486,1,1496,1.320043009670738,1,35,12.54250,1.691857
42,1.000000000000000,1,1,2,16,.2961860274888556E-01,1,1496,1.525414963586015,1,1552,-2.226219,0.8004403
43,1.000000000000000,1,1,2,17,-.2062652288376614,1,1502,2.341882045636325,1,484,-2.760616,22.03691
44,1.000000000000000,1,1,2,18,-.3216809525668077E-01,1,1496,.9352305878723800,1,484,1.551630,0.8847424
45,1.000000000000000,1,1,2,19,-.4181026654522634E-01,1,1496,.4757586294611285,1,484,3.050445,3.129996
46,1.000000000000000,1,1,2,20,-.2251542261420304E-01,1,1496,.2550609985772300,1,484,3.128144,0.8306477
47,1.000000000000000,1,1,2,21,-.1143261084570987E-01,1,1496,.1829294691525209,1,484,2.662886,1.624228
48,1.000000000000000,1,1,2,22,-.5435772397218025E-02,1,1496,.1244801991316518,1,484,2.087518,1.118297
49,1.000000000000000,1,1,2,23,-.3758947746117876E-02,1,1496,.5793307334008551E-01,1,484,2.029558,4.696088
50,1.000000000000000,1,1,2,24,-.2036374763467123E-02,1,1496,.3318164132084749E-01,1,484,2.792015,0.9259624
51,1.000000000000000,1,1,2,25,.1884945405322866E-02,1,1496,.6112557005607606E-01,1,484,-8.232993,1.112081
52,1.000000000000000,1,1,2,26,-.3026196293320150E-02,1,1502,.1722228643115714E-01,1,484,-0.2627962,18.63436
53,1.000000000000000,1,1,2,27,-.2234935579913185E-03,1,1157,.1186073946235509E-01,1,484,3.029166,0.7944948
54,1.000000000000000,1,1,2,28,-.1233955950987274E-03,1,1157,.8634676623733330E-02,1,484,3.619336,1.767097
55,1.000000000000000,1,1,2,29,.7446908671616264E-03,1,1502,.3648142385944885E-01,1,484,-47.35399,0.7833732
56,1.000000000000000,1,1,2,30,-.8597991324639774E-03,1,1502,.1521021176742227E-02,1,484,-0.6441170E-01,24.16866
57,1.000000000000000,1,1,2,31,-.1550653336374195E-04,1,1157,.1427014894834933E-02,1,484,2.529998,1.250099
58,1.000000000000000,1,1,2,32,-.1131656984353783E-04,1,1157,.1024309458902801E-02,1,484,1.929644,6.971777
59,1.000000000000000,1,1,2,33,-.4423978441773085E-05,1,1157,.7015283795782161E-03,1,484,3.260834,0.8507224
60,1.000000000000000,1,1,2,34,-.1859559386983064E-05,1,1157,.5982766446294544E-03,1,484,2.764232,1.375246
61,1.000000000000000,1,1,2,35,-.1645389274025549E-05,1,1157,.4550276506710049E-03,1,484,1.206924,1.810228
62,1.000000000000000,1,1,2,36,.3301136469892951E-06,1,1349,.4503977219013554E-03,1,484,0.4336056,3.239176
63,1.000000000000000,1,1,3,1,-.1550382265107253,1,1283,136.8641768243403,1,337,1.299732,1.217431
64,1.000000000000000,1,1,3,2,-.4498655562073355,1,1330,69.54582473340317,1,484,8.748135,1.039757
65,1.000000000000000,1,1,3,3,-.6911809428020529,1,1330,67.27930265019594,1,484,3.796775,1.715935
66,1.000000000000000,1,1,3,4,-.8240963141240254,1,1330,65.80705159093199,1,484,3.266958,1.659280
67,1.000000000000000,1,1,3,5,-.6388464877027544,1,1330,62.77883953448168,1,484,3.703511,1.148059
68,1.000000000000000,1,1,3,6,-.5351701087243855,1,1401,55.73006965794845,1,484,3.545106,1.325655
69,1.000000000000000,1,1,3,7,-.6831875894589963,1,1401,35.69646791054237,1,484,2.917280,2.386260
70,1.000000000000000,1,1,3,8,-1.229589053277311,1,1401,-13.16771403017951,1,366,5.967120,0.9019291
71,1.000000000000000,1,1,3,9,-1.479566573739463,1,1401,-45.00206106603274,1,484,3.538085,1.560279
72,1.000000000000000,1,1,3,10,-1.114872155524474,1,1349,-67.38502823513464,1,484,2.252357,2.460849
73,1.000000000000000,1,1,3,11,.1520384017264706,1,1496,-66.63879472879854,1,484,-1.780701,0.7694536
74,1.000000000000000,1,1,3,12,-1.239496447377846,1,1496,-27.23272293074938,1,484,-2.788919,21.02011
75,1.000000000000000,1,1,3,13,-.2409183526232765,1,1496,-25.34042600492761,1,484,1.523049,0.7727813
76,1.000000000000000,1,1,3,14,-.6345320449681701,1,1496,-19.10822239764980,1,484,4.109596,5.018976
77,1.000000000000000,1,1,3,15,.1663286048808726E-01,1,1501,-17.79394610444925,1,484,-0.6126442,0.9496559
78,1.000000000000000,1,1,3,16,-.5640469551660703,1,1502,-3.974093804306075,1,484,-8.441519,16.24839
79,1.000000000000000,1,1,3,17,-.2021213330255980,1,1502,-2.366655270198486,1,484,4.258069,0.8498133
80,1.000000000000000,1,1,3,18,-.2512171608931072,1,1502,.4527493346800733,1,358,11.30945,0.8676186
81,1.000000000000000,1,1,3,19,.1242461981640551,1,1496,-.7589876165153278,1,484,0.3003458,12.19530
82,1.000000000000000,1,1,3,20,-.3391878612072598E-01,1,1502,-.1450959462143055,1,484,3.557462,0.9357600
83,1.000000000000000,1,1,3,21,-.1501752362653452E-01,1,1502,.6461705914911095E-01,1,1552,2.281376,3.018339
84,1.000000000000000,1,1,3,22,-.8112308138151746E-02,1,1502,.6109913124968983E-01,1,484,1.908117,1.302392
85,1.000000000000000,1,1,3,23,-.5013037104149528E-02,1,1502,.7896690496960672E-01,1,484,2.267035,1.574898
86,1.000000000000000,1,1,3,24,-.2368231375481920E-02,1,1502,.8710458114310510E-01,1,484,2.052942,1.893242
87,1.000000000000000,1,1,3,25,-.1637089300943508E-02,1,1502,.9075659271892622E-01,1,484,3.026001,1.096730
88,1.000000000000000,1,1,3,26,.1821685365477892E-03,1,1329,.7392311553638850E-01,1,484,0.2629905,5.616969
89,1.000000000000000,1,1,3,27,-.8781600660984081E-03,1,63,.6413254848979327E-01,1,484,11.97038,6.304601
90,1.000000000000000,1,1,3,28,-.7680550144442577E-03,1,63,.4696080515803973E-01,1,484,9.252491,0.8289330
91,1.000000000000000,1,1,3,29,.2442562816318617E-03,1,63,.4348383362745301E-01,1,484,0.4363916,6.038210
92,1.000000000000000,1,1,3,30,-.1342634456228230E-03,1,63,.3836884580215785E-01,1,484,3.501661,0.8352693
93,1.000000000000000,1,1,3,31,-.1207961730598577E-03,1,1401,.2801343088713757E-01,1,484,1.683344,7.033573
94,1.000000000000000,1,1,3,32,-.9807850693529629E-04,1,1401,.2162644005623520E-01,1,484,5.590694,0.8560654
95,1.000000000000000,1,1,3,33,.5852771338504454E-04,1,1349,.1321034610584613E-01,1,484,0.3934027,14.22450
96,1.000000000000000,1,1,3,34,-.4060024911295142E-04,1,1401,.1138170833726673E-01,1,484,5.168050,0.9775976
97,1.000000000000000,1,1,3,35,-.3748342525789057E-04,1,1401,.7991390605865501E-02,1,484,4.126320,1.332897
98,1.000000000000000,1,1,3,36,-.2383105678688879E-04,1,1401,.5838150067968065E-02,1,484,2.154429,2.032556
99,1.000000000000000,1,1,3,37,-.2823407774296226E-04,1,1401,.3505549636115469E-02,1,484,2.788430,1.012797
100,1.000000000000000,1,1,3,38,-.1564834347923437E-03,1,1401,-.1097746391385172E-01,1,484,29.26665,0.9944093
101,1.000000000000000,1,1,3,39,.1263499892817800E-03,1,1401,.6097013661552877E-03,1,484,0.1089348,11.81690
102,1.000000000000000,1,1,3,40,-.5139114407959176E-05,1,1401,.1759209979300107E-03,1,484,2.614976,0.7667003
103,1.000000000000000,1,1,3,41,-.1314173339039132E-05,1,1401,.5474801076376685E-04,1,484,2.221939,0.2307691
104,1.000000000000000,1,1,3,42,-.3511824841515518E-06,1,1401,.2188818703982581E-04,1,484,1.892460,0.5641922E-01
105,1.000000000000000,1,1,4,1,.8454720671194210E-01,1,194,42.16653004134356,1,484,3.918567,1.060415
106,1.000000000000000,1,1,4,2,-.1683193100754585,1,1328,19.60343032440481,1,337,6.179934,1.212903
107,1.000000000000000,1,1,4,3,-.2990400496638665,1,1328,31.63642813138442,1,337,5.163149,1.003284
108,1.000000000000000,1,1,4,4,-.5076859707338800,1,1401,26.78025091386230,1,337,3.804795,2.025861
109,1.000000000000000,1,1,4,5,-.9209451015602245,1,1401,20.74828349587911,1,357,3.981710,1.390786
110,1.000000000000000,1,1,4,6,-.7752437216633160,1,1349,-15.72440718474091,1,484,3.295651,1.467638
111,1.000000000000000,1,1,4,7,-.3631868591480185,1,1501,-19.41418869709752,1,484,2.213878,1.578546
112,1.000000000000000,1,1,4,8,-.8372096862657523,1,1501,-22.97218677103184,1,484,4.296216,1.497397
113,1.000000000000000,1,1,4,9,.3786524381438806,1,1496,-22.67870318924809,1,484,-2.874905,1.032278
114,1.000000000000000,1,1,4,10,-1.325357183021175,1,1496,-11.35821846177209,1,484,-1.310255,8.632811
115,1.000000000000000,1,1,4,11,-.2256994582008348,1,1496,-10.30887912802082,1,484,3.753150,0.8106067
116,1.000000000000000,1,1,4,12,-.1122385557094540,1,1496,-8.512117888407870,1,484,1.959268,3.728857
117,1.000000000000000,1,1,4,13,-.5742733647361224E-01,1,1502,-7.205171380082942,1,484,1.827157,2.274777
118,1.000000000000000,1,1,4,14,-.3206008076717413E-01,1,1502,-6.067063917041837,1,484,2.440178,1.618232
119,1.000000000000000,1,1,4,15,-.3454556325341759E-01,1,1502,-4.469768411614679,1,484,3.619373,0.8174626
120,1.000000000000000,1,1,4,16,.2707858251068859E-01,1,1401,-2.331207300718221,1,484,0.7680671E-01,19.56931
121,1.000000000000000,1,1,4,17,-.1930041903039878E-01,1,1502,-1.654270261389787,1,484,38.14200,1.527831
122,1.000000000000000,1,1,4,18,-.1886083826898702E-01,1,1502,-.7896601446460090,1,484,8.993187,0.8026840
123,1.000000000000000,1,1,4,19,.8140054970620231E-02,1,1328,-.2695709767849576,1,357,0.4657372,28.46368
124,1.000000000000000,1,1,4,20,-.4699681443875878E-02,1,1502,-.2247955852316481,1,484,5.202710,0.8279278
125,1.000000000000000,1,1,4,21,-.1752310451493737E-02,1,1502,-.1887088924454542,1,484,1.539767,1.271462
126,1.000000000000000,1,1,4,22,-.2282320789047713E-02,1,1502,-.1202883946599413,1,484,3.279532,1.196301
127,1.000000000000000,1,1,4,23,-.5888658690452556,1,63,27.69562879620956,1,484,1922.493,0.9277279
128,1.000000000000000,1,1,4,24,.5870842777507667,1,63,-.1124950009433875E-01,1,484,0.1955780E-02,11.23659
129,1.000000000000000,1,1,4,25,-.3108084832204173E-03,1,1502,-.1133017750331307E-01,1,484,2.440131,0.9556525
130,1.000000000000000,1,1,4,26,-.2066487849598848E-03,1,1502,-.4635126514327534E-02,1,484,1.575180,7.928913
131,1.000000000000000,1,1,4,27,-.1070020734758342E-03,1,63,.1030168012838701E-02,1,1552,3.292398,1.051585
132,1.000000000000000,1,1,4,28,-.7147836907405449E-04,1,63,.6682097168463011E-03,1,1552,3.041431,1.213324
133,1.000000000000000,1,1,4,29,-.4833087545948790E-04,1,63,.4663998557919981E-03,1,484,3.571970,0.8771795
134,1.000000000000000,1,1,4,30,.1670606967031539E-04,1,1329,-.6189494543778665E-03,1,1495,0.3379843,13.31365
135,1.000000000000000,1,1,4,31,-.2147025993630472E-04,1,63,.1208374963857268E-02,1,484,6.054177,1.567104
136,1.000000000000000,1,1,4,32,-.1270629410816135E-04,1,63,-.2781420851398333E-03,1,1384,2.493341,9.619640
137,1.000000000000000,1,1,4,33,-.1014168003561226E-04,1,63,.9365735755387551E-03,1,484,8.841576,0.8372645
138,1.000000000000000,1,1,4,34,.2850144699248434E-05,1,1502,.4134871860928446E-03,1,484,0.3319750,7.653917
139,1.000000000000000,1,1,4,35,-.2061225759524052E-05,1,63,.3325779153684416E-03,1,484,3.640864,0.9609536
140,1.000000000000000,1,1,4,36,.1761244582738911E-05,1,1364,.3048221926777600E-03,1,484,2.118148,5.159151
141,1.000000000000000,1,1,4,37,.1201478243210218E-05,1,1403,.2615396175238698E-03,1,484,2.515278,1.304012
142,1.000000000000000,1,1,4,38,.1259106553070375E-05,1,1403,.2059785467415510E-03,1,484,3.046895,1.613853
143,1.000000000000000,1,1,4,39,.2419517674884947E-05,1,1403,.9798533947620778E-04,1,484,5.235406,0.8063750
144,1.000000000000000,1,1,4,40,.8808693481500405E-07,1,1499,.9633778440389371E-04,1,484,0.4335659,2.557501
145,1.000000000000000,1,1,5,1,.8927631003235420E-01,1,98,6.836213976225597,1,484,5.135041,0.9930785
146,1.000000000000000,1,1,5,2,.5270518212898841E-01,1,135,-2.090259917637876,1,357,3.209759,1.150884
147,1.000000000000000,1,1,5,3,1.979969689539531,1,1330,65.50939981072608,1,337,167.2524,0.9211536
148,1.000000000000000,1,1,5,4,-1.883635939884442,1,1330,2.302959650439762,1,484,0.2762097E-01,4.197330
149,1.000000000000000,1,1,5,5,-.3290290820071907E-01,1,1501,2.837560354727831,1,484,5.250496,1.735756
150,1.000000000000000,1,1,5,6,-.3024369088773968E-01,1,1496,2.964734633133633,1,484,2.987562,1.057381
151,1.000000000000000,1,1,5,7,-.4668900181320573E-01,1,1496,3.080362918442018,1,484,4.297890,1.165411
152,1.000000000000000,1,1,5,8,-.1496471510804782,1,1496,3.669972317552717,1,484,5.555263,1.451184
153,1.000000000000000,1,1,5,9,-.2177861512183521,1,1496,5.336378705467767,1,484,3.060492,4.616676
