total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
37,1.000000000000000,1,1,2,12,-.1881664473507065,1,1501,11.79575623387334,1,484,4.413149,0.9373362
38,1.000000000000000,1,1,2,13,-.1486877822801450,1,1501,5.666413877735953,1,484,4.906515,0.9113795
39,1.000000000000000,1,1,2,14,-.1368183949790737E-01,1,1496,5.096117554783729,1,484,0.3878184E-01,3.385302
40,1.000000000000000,1,1,2,15,-.1277757240304033,1,1496,2.082205698418778,1,484,104.5982,4.498249
41,1.000000000000000,1,1,2,16,-.2477143156438732,1,1496,-1.781614181209717,1,484,16.53594,0.8253635
42,1.000000000000000,1,1,2,17,.1331914286156903,1,1496,1.101815987917958,1,484,0.5231960,3.676509
43,1.000000000000000,1,1,2,18,-.2341034948093657E-01,1,1502,.8092594721512472,1,484,0.6810497,1.234583
44,1.000000000000000,1,1,2,19,-.4908367986511934E-01,1,1502,.3840055818057788,1,484,5.049489,2.890613
45,1.000000000000000,1,1,2,20,-.2251579560631035E-01,1,1502,.1814348829874924,1,484,3.417109,0.8218997
46,1.000000000000000,1,1,2,21,-.1093536729056298E-01,1,1502,.1165281719160958,1,484,2.771805,1.577332
47,1.000000000000000,1,1,2,22,-.5051801835918610E-02,1,1502,.9174869209823908E-01,1,484,2.179693,1.065628
48,1.000000000000000,1,1,2,23,-.3320200668823381E-02,1,1501,.6915259652458117E-01,1,484,1.946658,5.758373
49,1.000000000000000,1,1,2,24,-.1792191346378901E-02,1,1502,.4975612429927753E-01,1,484,2.698502,1.155726
50,1.000000000000000,1,1,2,25,-.5848976533422190E-02,1,1501,-.3276616233328727E-01,1,484,24.40789,0.8424075
51,1.000000000000000,1,1,2,26,.4659380265624496E-02,1,1502,.1714179505704580E-01,1,484,0.8463089E-01,21.09309
52,1.000000000000000,1,1,2,27,-.2045879005144896E-03,1,1502,.1081395032420954E-01,1,484,3.126273,0.7941092
53,1.000000000000000,1,1,2,28,-.1165138181589766E-03,1,63,.7777291692194420E-02,1,484,3.522965,3.032099
54,1.000000000000000,1,1,2,29,-.1367222887308849E-03,1,63,.3138018211028617E-02,1,484,8.347174,0.7848788
55,1.000000000000000,1,1,2,30,.4705970590171310E-04,1,1496,.3075515459638037E-02,1,484,0.3039971,20.07707
56,1.000000000000000,1,1,2,31,-.1321358000055638E-04,1,1496,.2014155844929297E-02,1,484,2.576533,1.049181
57,1.000000000000000,1,1,2,32,-.1217453424193433E-04,1,76,.1051727292408768E-02,1,484,2.250324,12.40752
58,1.000000000000000,1,1,2,33,-.4407336648240369E-05,1,1157,.6680210929192508E-03,1,484,4.623920,0.8564632
59,1.000000000000000,1,1,2,34,.7292705993374985E-06,1,1349,.6447297724297142E-03,1,484,0.5116893,4.402751
60,1.000000000000000,1,1,3,1,-.2084044095239099,1,1283,179.0239176860835,1,337,1.235290,1.222022
