total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
144,2.000000000000000,2,1,2,4,.6997903042482888E-03,1,1110,-.5284709524050968,1,1163,2.111354,0.9203857
145,2.000000000000000,2,1,2,5,.2029251465702440E-03,1,1110,-.7287605846417489E-01,1,1163,1.753255,1.046849
146,2.000000000000000,2,1,2,6,-.3335541245450049E-04,1,895,-.1450281537844371E-01,1,1163,1.472034,1.150000
147,2.000000000000000,2,1,2,7,-.6242096262820928E-05,1,895,-.2700747723367758E-02,1,1163,1.239596,2.335843
148,2.000000000000000,2,1,2,8,.4605315166156293E-06,1,1110,-.5405776073470617E-03,1,1163,1.621528,0.9774550
149,2.000000000000000,2,1,3,1,.5602114485580904E-01,1,391,-19.53912080749907,1,1200,1.112009,1.280839
150,2.000000000000000,2,1,3,2,.1375849687803422E-01,1,156,-3.949410261502700,1,1163,1.863580,1.153492
151,2.000000000000000,2,1,3,3,.2459131084898068E-02,1,895,-1.047144241165698,1,1163,1.692310,1.616132
152,2.000000000000000,2,1,3,4,.3472726331900384E-03,1,1110,-.2617089055441617,1,1163,2.129853,0.9176334
153,2.000000000000000,2,1,3,5,.1033304892118715E-03,1,1110,-.3548901989537515E-01,1,1163,1.785658,1.024221
154,2.000000000000000,2,1,3,6,-.1619691819476958E-04,1,895,-.6248814673920148E-02,1,1163,1.605482,1.003235
155,2.000000000000000,2,1,3,7,-.2933080527209315E-05,1,895,-.1121838768995528E-02,1,1163,1.174123,2.666127
156,2.000000000000000,2,1,3,8,.1812054022860926E-06,1,1110,.1645332204578642E-03,1,1068,1.493653,1.282811
157,2.000000000000000,2,1,4,1,.2756127936265065E-01,1,391,-9.619962334391829,1,1200,1.114712,1.279626
158,2.000000000000000,2,1,4,2,.6799928561356758E-02,1,156,-1.906147014205849,1,1163,1.869651,1.143705
159,2.000000000000000,2,1,4,3,.1213703821638059E-02,1,895,-.5044740910050532,1,1163,1.683746,1.642133
160,2.000000000000000,2,1,4,4,.1718454265168307E-03,1,1110,-.1258443652247573,1,1163,2.161120,0.9145939
161,2.000000000000000,2,1,4,5,.5064667890533060E-04,1,1110,-.1649454114814145E-01,1,1163,1.820443,0.9994498
162,2.000000000000000,2,1,4,6,-.8146890464333696E-05,1,895,.2111494095980968E-02,1,1200,1.866289,0.8877735
163,2.000000000000000,2,1,4,7,-.1001462151954994E-05,1,895,-.7474630016244005E-03,1,1200,0.4939672,3.001958
164,2.000000000000000,2,1,4,8,.1294314360873847E-06,1,895,-.7424663508843499E-04,1,1163,3.283451,0.8636395
165,2.000000000000000,2,1,5,1,.1355550611624288E-01,1,391,-4.736138376791422,1,1200,1.116795,1.278860
166,2.000000000000000,2,1,5,2,.3357548280369169E-02,1,156,-.9199813361286844,1,1163,1.873681,1.136049
167,2.000000000000000,2,1,5,3,.5981965476506428E-03,1,895,-.2438540983869897,1,1163,1.676770,1.660337
168,2.000000000000000,2,1,5,4,.8337090498707905E-04,1,1110,-.6103035519721826E-01,1,1163,2.176071,0.9132679
169,2.000000000000000,2,1,5,5,.2467090834913858E-04,1,1110,-.8088322898473341E-02,1,1163,1.824389,1.000902
170,2.000000000000000,2,1,5,6,-.3833417976698767E-05,1,895,.1135866445880021E-02,1,1200,1.807334,0.9046947
171,2.000000000000000,2,1,5,7,-.1942361544503630E-06,1,895,-.7400024025219809E-03,1,916,-1.514819,1.629031
172,2.000000000000000,2,1,6,1,.6657819175055295E-02,1,391,-2.330008041068232,1,1200,1.118235,1.278318
173,2.000000000000000,2,1,6,2,.1654927861842907E-02,1,156,-.4437987071473138,1,1163,1.874541,1.131333
174,2.000000000000000,2,1,6,3,.2947949015289269E-03,1,895,-.1177703886379975,1,1068,1.669388,1.677680
175,2.000000000000000,2,1,6,4,.4010401629328528E-04,1,1110,-.2992427909140323E-01,1,1163,2.171574,0.9139725
176,2.000000000000000,2,1,6,5,.1204672316733250E-04,1,1110,-.4151569827457929E-02,1,1163,1.803837,1.025527
177,2.000000000000000,2,1,6,6,-.1769707464475440E-05,1,895,-.7203158827105128E-03,1,1163,1.608816,1.000097
178,2.000000000000000,2,1,6,7,-.3267487912802674E-06,1,895,-.1290590721304414E-03,1,1163,1.183053,2.613695
179,2.000000000000000,2,1,7,1,.3268622663932932E-02,1,391,-1.146305451739621,1,1200,1.119418,1.277899
180,2.000000000000000,2,1,7,2,.8156016056803541E-03,1,156,-.2141865609418092,1,1163,1.875126,1.127557
181,2.000000000000000,2,1,7,3,.1451363112606502E-03,1,895,-.5723878176568712E-01,1,1068,1.662589,1.692457
182,2.000000000000000,2,1,7,4,.1929833106917797E-04,1,1110,-.1463731315539694E-01,1,1163,2.168113,0.9143740
183,2.000000000000000,2,1,7,5,.5874389324197304E-05,1,1110,-.2084767912796805E-02,1,1163,1.794239,1.040992
184,2.000000000000000,2,1,7,6,-.8447746743495294E-06,1,895,-.3777887717271276E-03,1,1163,1.559006,1.034885
185,2.000000000000000,2,1,8,1,.1608493357739744E-02,1,292,-.5637736675866415,1,1200,1.120464,1.277610
186,2.000000000000000,2,1,8,2,.4018631899319844E-03,1,156,-.1034933282470751,1,1163,1.875668,1.124338
187,2.000000000000000,2,1,8,3,.7140644809638136E-04,1,895,-.2784151882880041E-01,1,1068,1.656462,1.705627
188,2.000000000000000,2,1,8,4,.9293969065773323E-05,1,1110,-.7156874121562856E-02,1,1163,2.163923,0.9147884
189,2.000000000000000,2,1,8,5,.2863351198931791E-05,1,1110,-.1042058403714831E-02,1,1163,1.785405,1.055940
190,2.000000000000000,2,1,8,6,-.4049233544294201E-06,1,895,-.1926385510632987E-03,1,1163,1.529907,1.054095
191,2.000000000000000,2,1,9,1,.7915489961286195E-03,1,292,-.2772366279704785,1,1200,1.121407,1.277411
192,2.000000000000000,2,1,9,2,.1979757467602693E-03,1,156,-.5004661872794949E-01,1,1163,1.876119,1.121555
193,2.000000000000000,2,1,9,3,.3511990564282371E-04,1,895,-.1355365400149925E-01,1,1068,1.650894,1.717371
194,2.000000000000000,2,1,9,4,.4479260184034432E-05,1,1110,-.3500769319754736E-02,1,1163,2.158813,0.9152641
195,2.000000000000000,2,1,9,5,.1396250423848089E-05,1,1110,-.5200398280749681E-03,1,1163,1.776729,1.071173
196,2.000000000000000,2,1,9,6,.1963461398021970E-06,1,1110,-.9725486333548108E-04,1,1163,1.509305,1.059477
197,2.000000000000000,2,1,10,1,.3893449578547829E-03,1,292,-.1363076742164656,1,1200,1.122269,1.277275
198,2.000000000000000,2,1,10,2,.9751637529891650E-04,1,156,-.2422128689023379E-01,1,1163,1.876504,1.119121
199,2.000000000000000,2,1,10,3,.1726885238540315E-04,1,895,-.6603257712066542E-02,1,1068,1.645848,1.727843
200,2.000000000000000,2,1,10,4,.2160876973455369E-05,1,1110,-.1712961080108370E-02,1,1163,2.153216,0.9157716
201,2.000000000000000,2,1,10,5,.6812121707387587E-06,1,1110,-.2590459112964729E-03,1,1163,1.768531,1.085628
202,2.000000000000000,2,1,11,1,.1914345008491825E-03,1,292,-.6696940952227427E-01,1,1200,1.123066,1.277199
203,2.000000000000000,2,1,11,2,.4801538408596969E-04,1,156,-.1175674594946062E-01,1,1163,1.877120,1.117030
204,2.000000000000000,2,1,11,3,.8485184096534503E-05,1,895,-.3221193927511181E-02,1,1068,1.641658,1.736631
205,2.000000000000000,2,1,11,4,.1045466175666954E-05,1,1110,-.8391104780400750E-03,1,1163,2.147395,0.9161670
206,2.000000000000000,2,1,11,5,.3325890287594240E-06,1,1110,-.1292072943054929E-03,1,1163,1.757302,1.099474
207,2.000000000000000,2,1,12,1,.9427806011350079E-04,1,1148,-.3290602439625228E-01,1,1200,1.123807,1.277151
208,2.000000000000000,2,1,12,2,.2363883846191885E-04,1,156,-.5705743354424008E-02,1,1163,1.877543,1.115190
209,2.000000000000000,2,1,12,3,.4169301836934467E-05,1,895,-.1572176543016544E-02,1,1068,1.637733,1.744683
210,2.000000000000000,2,1,12,4,.5060163109909286E-06,1,1110,-.4109400221240507E-03,1,1163,2.141864,0.9165715
211,2.000000000000000,2,1,13,1,.4650747350735954E-04,1,1148,-.1614978146357652E-01,1,1200,1.124535,1.277366
212,2.000000000000000,2,1,13,2,.1163268533586414E-04,1,156,-.2810177858262793E-02,1,1163,1.880708,1.113750
213,2.000000000000000,2,1,13,3,.2041139090716506E-05,1,895,-.7720799769014330E-03,1,1068,1.637065,1.750242
214,2.000000000000000,2,1,13,4,.2484249551448712E-06,1,1110,-.2016003315354898E-03,1,1163,2.138891,0.9160009
215,2.000000000000000,2,1,14,1,.2293353105876361E-04,1,1148,-.7925952076879057E-02,1,1200,1.125220,1.277516
216,2.000000000000000,2,1,14,2,.5722814461110377E-05,1,156,-.1376634653434447E-02,1,1163,1.882338,1.112624
217,2.000000000000000,2,1,14,3,.1000514094617017E-05,1,895,-.3786860920406621E-03,1,1068,1.635528,1.753644
218,2.000000000000000,2,1,14,4,.1215946692316340E-06,1,1110,-.9900169035352871E-04,1,1163,2.136426,0.9149452
219,2.000000000000000,2,1,15,1,.1130492346026350E-04,1,1148,-.3890129572008991E-02,1,1200,1.125863,1.277620
220,2.000000000000000,2,1,15,2,.2815017811297247E-05,1,156,-.6732000655129162E-03,1,1163,1.883501,1.111516
221,2.000000000000000,2,1,15,3,.4905857613258487E-06,1,895,-.1854571361841333E-03,1,1068,1.633817,1.751415
222,2.000000000000000,2,1,16,1,.5567278540874736E-05,1,1148,-.1923135897769756E-02,1,1200,1.126512,1.278185
223,2.000000000000000,2,1,16,2,.1388283912066643E-05,1,156,-.3443923322543371E-03,1,1163,1.891822,1.110014
224,2.000000000000000,2,1,16,3,.2389474764655519E-06,1,895,-.9367343204484065E-04,1,1068,1.634510,1.730042
